"RID","AnnualFee_1","AnnualFee_2","AnnualFee_3","AnnualFee_4","AnnualFee_5","Rewards_1","Rewards_2","Rewards_3","Rewards_4","InterestRate_1","InterestRate_2","InterestRate_3","InterestRate_4","InterestRate_5","InterestRate_6","Fees_1","Fees_2","Fees_3","CreditLimit_1","CreditLimit_2","CreditLimit_3","CreditLimit_4","CreditLimit_5","CreditLimit_6"
"R_4PjqkF6FJBRBumZ"," 2.165373e+00"," 2.226173e-01","-1.4739603138","-1.736750619"," 0.8227204546","-0.731830694"," 0.4088786271","-3.397528e-02"," 3.569274e-01"," 0.905476246"," 0.378909942"," 5.284036e-01","-4.791336e-02","-0.9262300149","-0.838646372"," 1.666771e-02","-2.2139154624"," 2.1972477554"," 1.631416e+00"," 1.8693833716"," 0.8051107017","-3.872071e-01","-1.5028035176","-2.4158993352"
"R_3ptXMiDzghngpIB"," 8.191336e-01","-3.975940e-01","-0.1097770765","-0.994788277"," 0.6830257808","-0.024886309"," 0.5427260414","-4.641321e-01","-5.370760e-02"," 1.886988580"," 1.075743612"," 1.477186e+00"," 6.822987e-02","-1.3092914281","-3.198857023"," 1.323560e-02","-1.2094054076"," 1.1961698123","-2.289471e+00","-1.1569854380"," 0.8579014845"," 6.689495e-01"," 1.3091893844"," 0.6104163498"
"R_2ygresKB4axKivx"," 2.638082e+00","-3.053228e-01","-1.0932087418","-2.464352932"," 1.2248020604","-1.130235136"," 0.7908519524","-7.697633e-02"," 4.163595e-01"," 1.319095721","-0.304162247"," 4.243551e-01","-7.546149e-01","-0.4388763288","-0.245797362"," 1.273627e-01"," 0.0412149411","-0.1685775957"," 5.560736e-01","-0.1420501876"," 0.4650021934"," 1.700921e-01","-0.6682634484","-0.3808542971"
"R_1esfQzOy3N4t49G"," 3.675129e-01","-1.170348e+00"," 0.4206441831","-0.702900691"," 1.0850916435"," 0.954744957","-0.4762287505","-3.286556e-01","-1.498606e-01","-0.600778355","-0.011837911","-3.214198e-01","-9.779579e-02"," 0.9878106930"," 0.044021143","-5.815592e-01"," 0.7396827290","-0.1581235603","-7.776825e-01","-0.7394966645","-0.0855232082"," 8.040303e-01"," 0.7487913014"," 0.0498806821"
"R_NViluvbfF1kn3l7"," 2.154905e+00","-1.945126e-01","-0.9699978089","-2.616218205"," 1.6258237995","-1.112212349"," 0.8875341458"," 1.855225e-01"," 3.915575e-02"," 1.960163819"," 0.872716133"," 5.204312e-01"," 2.677318e-01","-1.3557654332","-2.265277571"," 8.028789e-01","-1.0249321976"," 0.2220533439","-1.429994e+00","-0.2747375544"," 1.4305776277"," 1.105090e+00","-0.4330240358","-0.3979123338"
"R_27BDd4x3VG6MlT7","-7.367515e-01"," 4.138532e-01","-0.2820612964"," 0.738280917","-0.1333213075","-0.410631230"," 0.2578207415","-1.141086e-01"," 2.669191e-01","-0.309631737"," 0.024480695","-4.598131e-01"," 9.359336e-01","-0.3346696149"," 0.143700191","-1.567289e-01"," 0.0819995372"," 0.0747293986","-2.440260e+00","-1.4984079186"," 0.0591527178"," 1.834527e+00"," 0.8973071938"," 1.1476809301"
"R_29c9QpuNSmFrfWM"," 1.948727e+00","-6.569170e-01","-1.9155383430","-1.226281724"," 1.8500105460","-0.994229502"," 1.2897230961","-1.509453e-01","-1.445483e-01"," 1.233410036"," 1.339563273"," 4.559660e-01","-5.188684e-01","-1.4408233381","-1.069247634","-5.821765e-02","-0.7829815115"," 0.8411991618","-1.406168e+00"," 0.4528294193","-0.0778258087"," 7.664543e-01"," 0.5456225004","-0.2809119771"
"R_2zVoBRUfME3PYZ5"," 4.016383e-01"," 3.883297e-02","-0.3542174912","-0.147754073"," 0.0615002873","-1.362291198"," 0.3187211013"," 1.377328e+00","-3.337583e-01"," 1.333361012"," 0.664752219"," 6.790567e-03"," 8.142182e-02","-1.6750047482","-0.411320872","-6.899477e-01","-1.5746367768"," 2.2645844319"," 3.997354e-01","-0.1785081083"," 0.5590518454"," 4.307091e-01","-0.7725513479","-0.4384369428"
"R_2c02ghqpbU82vMV"," 3.760310e+00"," 3.712083e-01","-1.2908980197","-3.349537626"," 0.5089175009","-2.174825929"," 1.2529606964"," 5.421494e-01"," 3.797158e-01"," 1.922878802"," 1.039043237"," 8.786051e-01","-2.212807e-01","-1.6368974551","-1.982348897","-3.434791e-01","-2.0023232198"," 2.3458022834","-9.902496e-01","-0.1786806451"," 0.3290904985","-3.496668e-01"," 0.4565014292"," 0.7330050788"
"R_3ff25CrqGiqsX9J"," 1.340758e+00","-3.532479e-01","-1.1247237085","-1.533395383"," 1.6706092856","-0.601197895","-0.0928436280","-1.379108e-01"," 8.319523e-01"," 1.359258894"," 0.112454458"," 9.351634e-01"," 2.587112e-01","-0.4859115690","-2.179676357"," 1.054608e-01","-0.0024680062","-0.1029927561","-7.794163e-01","-1.1851543135","-0.3854831268"," 6.203042e-01"," 1.0206932298"," 0.7090563424"
